GMT    TBD11_12MAX  TBD11_12MIN  iddiMAX  iddiMIN  TBD11_3.8MAX  TBD11_3.8MIN  TBD11_6.7MAX  TBDTBD11_6.7MIN  TBB11MAX  TBB11MIN   VISRefMAX  VISRefMIN    TBB3MAX     TBB3MIN    TBB4MAX     TBB4MIN     RefMidIRMAX
0033    -1.0         -5.0         30.0      1.0        -1.0         -30.0          32.0            10.0        290.0     250.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
0133    -1.0         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        290.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
0233    -1.0         -5.0         50.0      5.0        -3.0         -55.0          40.0            15.0        290.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
0333    -1.0         -5.0         50.0      5.0        -8.0         -55.0          40.0             8.0        290.0     255.0        0.35       0.10       255.0       230.0      350.0       290.0          0.6
0433    -1.0         -5.0         50.0      5.0        -8.0         -62.0          40.0             8.0        290.0     255.0        0.35       0.10       260.0       230.0      350.0       290.0          0.6
0533    -1.0         -5.0         50.0      5.0        -8.0         -62.0          40.0             8.0        290.0     255.0        0.35       0.10       260.0       230.0      350.0       290.0          0.6
0633    -1.0         -5.0         50.0      5.0        -8.0         -60.0          40.0             8.0        290.0     255.0        0.35       0.10       260.0       230.0      350.0       290.0          0.6
0733    -1.0         -5.0         50.0      5.0        -8.0         -55.0          40.0             8.0        290.0     255.0        0.45       0.10       260.0       230.0      350.0       290.0          0.6
0833    -0.5         -5.0         50.0      5.0        -6.0         -55.0          40.0             8.0        290.0     250.0        0.35       0.10       260.0       230.0      350.0       290.0          0.6
0933    -1.0         -5.0         50.0      5.0        -3.0         -55.0          40.0            15.0        290.0     255.0        0.55       0.10       260.0       230.0      350.0       280.0          0.6  
1033    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1133    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1233    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1333    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1433    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1533    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1633    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1733    -0.5         -5.0         40.0      5.0        -3.0         -55.0          40.0            15.0        300.0     255.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
1833    -0.5         -4.0         20.0      3.0        -3.0         -28.0          15.0             5.0        290.0     245.0        0.55       0.10       250.0       230.0      290.0       260.0          0.6
1933    -0.5         -4.0         20.0      3.0        -3.0         -20.0          15.0             5.0        290.0     245.0        0.55       0.10       250.0       230.0      290.0       260.0          0.6
2033    -0.5         -4.0         20.0      3.0        -2.0         -15.0          16.0             5.0        290.0     245.0        0.55       0.10       250.0       230.0      290.0       255.0          0.6
2133    -1.0         -5.0         30.0      1.0        70.0         -10.0          32.0            10.0        280.0     248.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
2233    -1.0         -5.0         30.0      1.0        60.0         -10.0          32.0            10.0        280.0     248.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6 
2333    -1.0         -5.0         30.0      1.0        20.0         -10.0          32.0            10.0        290.0     248.0        0.55       0.10       250.0       230.0      350.0       250.0          0.6
