#分块号	左上角点纬度	左上角点经度	右下角点纬度	右下角点经度
T000	-80	-180	-90	-170
T001	-80	-170	-90	-160
T002	-80	-160	-90	-150
T003	-80	-150	-90	-140
T004	-80	-140	-90	-130
T005	-80	-130	-90	-120
T006	-80	-120	-90	-110
T007	-80	-110	-90	-100
T008	-80	-100	-90	-90
T009	-80	-90	-90	-80
T010	-80	-80	-90	-70
T011	-80	-70	-90	-60
T012	-80	-60	-90	-50
T013	-80	-50	-90	-40
T014	-80	-40	-90	-30
T015	-80	-30	-90	-20
T016	-80	-20	-90	-10
T017	-80	-10	-90	0
T018	-80	0	-90	10
T019	-80	10	-90	20
T020	-80	20	-90	30
T021	-80	30	-90	40
T022	-80	40	-90	50
T023	-80	50	-90	60
T024	-80	60	-90	70
T025	-80	70	-90	80
T026	-80	80	-90	90
T027	-80	90	-90	100
T028	-80	100	-90	110
T029	-80	110	-90	120
T030	-80	120	-90	130
T031	-80	130	-90	140
T032	-80	140	-90	150
T033	-80	150	-90	160
T034	-80	160	-90	170
T035	-80	170	-90	180
T036	-70	-180	-80	-170
T037	-70	-170	-80	-160
T038	-70	-160	-80	-150
T039	-70	-150	-80	-140
T040	-70	-140	-80	-130
T041	-70	-130	-80	-120
T042	-70	-120	-80	-110
T043	-70	-110	-80	-100
T044	-70	-100	-80	-90
T045	-70	-90	-80	-80
T046	-70	-80	-80	-70
T047	-70	-70	-80	-60
T048	-70	-60	-80	-50
T049	-70	-50	-80	-40
T050	-70	-40	-80	-30
T051	-70	-30	-80	-20
T052	-70	-20	-80	-10
T053	-70	-10	-80	0
T054	-70	0	-80	10
T055	-70	10	-80	20
T056	-70	20	-80	30
T057	-70	30	-80	40
T058	-70	40	-80	50
T059	-70	50	-80	60
T060	-70	60	-80	70
T061	-70	70	-80	80
T062	-70	80	-80	90
T063	-70	90	-80	100
T064	-70	100	-80	110
T065	-70	110	-80	120
T066	-70	120	-80	130
T067	-70	130	-80	140
T068	-70	140	-80	150
T069	-70	150	-80	160
T070	-70	160	-80	170
T071	-70	170	-80	180
T072	-60	-180	-70	-170
T073	-60	-170	-70	-160
T074	-60	-160	-70	-150
T075	-60	-150	-70	-140
T076	-60	-140	-70	-130
T077	-60	-130	-70	-120
T078	-60	-120	-70	-110
T079	-60	-110	-70	-100
T080	-60	-100	-70	-90
T081	-60	-90	-70	-80
T082	-60	-80	-70	-70
T083	-60	-70	-70	-60
T084	-60	-60	-70	-50
T085	-60	-50	-70	-40
T086	-60	-40	-70	-30
T087	-60	-30	-70	-20
T088	-60	-20	-70	-10
T089	-60	-10	-70	0
T090	-60	0	-70	10
T091	-60	10	-70	20
T092	-60	20	-70	30
T093	-60	30	-70	40
T094	-60	40	-70	50
T095	-60	50	-70	60
T096	-60	60	-70	70
T097	-60	70	-70	80
T098	-60	80	-70	90
T099	-60	90	-70	100
T100	-60	100	-70	110
T101	-60	110	-70	120
T102	-60	120	-70	130
T103	-60	130	-70	140
T104	-60	140	-70	150
T105	-60	150	-70	160
T106	-60	160	-70	170
T107	-60	170	-70	180
T108	-50	-180	-60	-170
T109	-50	-170	-60	-160
T110	-50	-160	-60	-150
T111	-50	-150	-60	-140
T112	-50	-140	-60	-130
T113	-50	-130	-60	-120
T114	-50	-120	-60	-110
T115	-50	-110	-60	-100
T116	-50	-100	-60	-90
T117	-50	-90	-60	-80
T118	-50	-80	-60	-70
T119	-50	-70	-60	-60
T120	-50	-60	-60	-50
T121	-50	-50	-60	-40
T122	-50	-40	-60	-30
T123	-50	-30	-60	-20
T124	-50	-20	-60	-10
T125	-50	-10	-60	0
T126	-50	0	-60	10
T127	-50	10	-60	20
T128	-50	20	-60	30
T129	-50	30	-60	40
T130	-50	40	-60	50
T131	-50	50	-60	60
T132	-50	60	-60	70
T133	-50	70	-60	80
T134	-50	80	-60	90
T135	-50	90	-60	100
T136	-50	100	-60	110
T137	-50	110	-60	120
T138	-50	120	-60	130
T139	-50	130	-60	140
T140	-50	140	-60	150
T141	-50	150	-60	160
T142	-50	160	-60	170
T143	-50	170	-60	180
T144	-40	-180	-50	-170
T145	-40	-170	-50	-160
T146	-40	-160	-50	-150
T147	-40	-150	-50	-140
T148	-40	-140	-50	-130
T149	-40	-130	-50	-120
T150	-40	-120	-50	-110
T151	-40	-110	-50	-100
T152	-40	-100	-50	-90
T153	-40	-90	-50	-80
T154	-40	-80	-50	-70
T155	-40	-70	-50	-60
T156	-40	-60	-50	-50
T157	-40	-50	-50	-40
T158	-40	-40	-50	-30
T159	-40	-30	-50	-20
T160	-40	-20	-50	-10
T161	-40	-10	-50	0
T162	-40	0	-50	10
T163	-40	10	-50	20
T164	-40	20	-50	30
T165	-40	30	-50	40
T166	-40	40	-50	50
T167	-40	50	-50	60
T168	-40	60	-50	70
T169	-40	70	-50	80
T170	-40	80	-50	90
T171	-40	90	-50	100
T172	-40	100	-50	110
T173	-40	110	-50	120
T174	-40	120	-50	130
T175	-40	130	-50	140
T176	-40	140	-50	150
T177	-40	150	-50	160
T178	-40	160	-50	170
T179	-40	170	-50	180
T180	-30	-180	-40	-170
T181	-30	-170	-40	-160
T182	-30	-160	-40	-150
T183	-30	-150	-40	-140
T184	-30	-140	-40	-130
T185	-30	-130	-40	-120
T186	-30	-120	-40	-110
T187	-30	-110	-40	-100
T188	-30	-100	-40	-90
T189	-30	-90	-40	-80
T190	-30	-80	-40	-70
T191	-30	-70	-40	-60
T192	-30	-60	-40	-50
T193	-30	-50	-40	-40
T194	-30	-40	-40	-30
T195	-30	-30	-40	-20
T196	-30	-20	-40	-10
T197	-30	-10	-40	0
T198	-30	0	-40	10
T199	-30	10	-40	20
T200	-30	20	-40	30
T201	-30	30	-40	40
T202	-30	40	-40	50
T203	-30	50	-40	60
T204	-30	60	-40	70
T205	-30	70	-40	80
T206	-30	80	-40	90
T207	-30	90	-40	100
T208	-30	100	-40	110
T209	-30	110	-40	120
T210	-30	120	-40	130
T211	-30	130	-40	140
T212	-30	140	-40	150
T213	-30	150	-40	160
T214	-30	160	-40	170
T215	-30	170	-40	180
T216	-20	-180	-30	-170
T217	-20	-170	-30	-160
T218	-20	-160	-30	-150
T219	-20	-150	-30	-140
T220	-20	-140	-30	-130
T221	-20	-130	-30	-120
T222	-20	-120	-30	-110
T223	-20	-110	-30	-100
T224	-20	-100	-30	-90
T225	-20	-90	-30	-80
T226	-20	-80	-30	-70
T227	-20	-70	-30	-60
T228	-20	-60	-30	-50
T229	-20	-50	-30	-40
T230	-20	-40	-30	-30
T231	-20	-30	-30	-20
T232	-20	-20	-30	-10
T233	-20	-10	-30	0
T234	-20	0	-30	10
T235	-20	10	-30	20
T236	-20	20	-30	30
T237	-20	30	-30	40
T238	-20	40	-30	50
T239	-20	50	-30	60
T240	-20	60	-30	70
T241	-20	70	-30	80
T242	-20	80	-30	90
T243	-20	90	-30	100
T244	-20	100	-30	110
T245	-20	110	-30	120
T246	-20	120	-30	130
T247	-20	130	-30	140
T248	-20	140	-30	150
T249	-20	150	-30	160
T250	-20	160	-30	170
T251	-20	170	-30	180
T252	-10	-180	-20	-170
T253	-10	-170	-20	-160
T254	-10	-160	-20	-150
